"date","nform","dp1","dp2","dp3","dp4","dp5","dp6","variable","value"
2016-03-17,"NH4+-N",-0.209999999999999,-0.289999999999999,-0.43,-0.279999999999999,-0.18,-0.17,"p1",8.72
2016-03-18,"NH4+-N",0.0800000000000001,-0.0600000000000005,0.17,0.0299999999999994,-0.0899999999999999,-0.0700000000000003,"p1",8.55
2016-03-21,"NH4+-N",0.0999999999999996,-0.0999999999999996,0.9,-0.0999999999999996,0.299999999999999,0,"p1",10.5
2016-03-22,"NH4+-N",-0.240000000000001,-0.130000000000001,1.67,0.239999999999998,-0.0700000000000003,-0.0700000000000003,"p1",7.81
2016-03-23,"NH4+-N",0.2,0.13,0.0800000000000001,0.0599999999999996,0,0.0800000000000001,"p1",6.91
2016-03-24,"NH4+-N",0.88,0.25,0.89,1.61,0.23,0.3,"p1",7.95
2016-03-25,"NH4+-N",-0.17,0.12,0.0800000000000001,-0.0599999999999996,0.2,0.0800000000000001,"p1",6.72
2016-03-27,"NH4+-N",NA,NA,NA,NA,NA,NA,"p1",NA
2016-03-29,"NH4+-N",0.159999999999999,0.13,0.26,0.19,-0.100000000000001,-0.0600000000000005,"p1",5.56
2016-03-30,"NH4+-N",-0.0300000000000002,-0.0600000000000005,0.21,-0.0899999999999999,-0.0499999999999998,-0.12,"p1",4.84
2016-03-31,"NH4+-N",0.04,0.0999999999999996,-0.0499999999999998,-0.0999999999999996,-0.0800000000000001,0.04,"p1",5.04
2016-04-01,"NH4+-N",-0.0300000000000002,-0.12,0.0299999999999994,-0.00999999999999979,-0.15,-0.0899999999999999,"p1",5.21
2016-04-04,"NH4+-N",-0.0399999999999996,-0.0399999999999996,-0.0599999999999996,-0.0499999999999998,-0.23,-0.24,"p1",2.47
2016-04-05,"NH4+-N",-0.0600000000000001,-0.0900000000000001,-0.115,-0.114,-0.113,-0.295,"p1",1.04
2016-04-06,"NH4+-N",-0.096,-0.126,-0.094,-0.104,-0.173,-0.314,"p1",0.665
2016-04-07,"NH4+-N",-0.055,-0.082,-0.091,-0.066,-0.204,-0.109,"p1",0.211
2016-04-08,"NH4+-N",-0.054,-0.066,-0.076,-0.062,-0.058,-0.069,"p1",0.087
2016-04-11,"NH4+-N",-0.036,-0.07,-0.054,-0.059,-0.064,-0.056,"p1",0.068
2016-04-12,"NH4+-N",-0.065,-0.086,-0.097,-0.075,-0.074,-0.115,"p1",0.073
2016-04-13,"NH4+-N",-0.315,-0.331,-0.321,-0.328,-0.335,-0.323,"p1",0.061
2016-04-14,"NH4+-N",-0.211,-0.242,-0.275,-0.206,-0.261,-0.287,"p1",0.203
2016-04-15,"NH4+-N",-0.249,-0.274,-0.283,-0.204,-0.252,-0.276,"p1",0.094
2016-04-16,"NH4+-N",NA,NA,NA,NA,NA,NA,"p1",NA
2016-04-18,"NH4+-N",-0.00600000000000001,-0.011,-0.002,-0.015,0.003,0,"p1",0.076
2016-04-19,"NH4+-N",-0.213,-0.223,-0.213,-0.197,-0.153,-0.219,"p1",0.083
2016-04-20,"NH4+-N",-0.015,-0.018,-0.003,-0.028,-0.029,0.041,"p1",0.049
2016-04-21,"NH4+-N",-0.23,-0.23,0.0700000000000003,-0.19,-0.16,-0.18,"p1",2.57
2016-04-22,"NH4+-N",-0.25,-0.27,-0.24,-0.2,-0.35,-0.27,"p1",2.27
2016-04-23,"NH4+-N",NA,NA,NA,NA,NA,NA,"p1",NA
2016-04-25,"NH4+-N",-0.133,-0.133,-0.148,-0.121,-0.142,-0.154,"p1",0.092
2016-04-26,"NH4+-N",-0.137,0.341,-0.123,-0.11,-0.116,-0.151,"p1",0.052
2016-04-27,"NH4+-N",-0.212,-0.211,-0.22,-0.184,-0.201,-0.179,"p1",0.062
2016-04-28,"NH4+-N",-0.279,-0.324,-0.293,-0.294,-0.27,-0.311,"p1",0.11
2016-04-29,"NH4+-N",-0.273,-0.295,-0.279,-0.237,-0.271,-0.3,"p1",0.077
2016-04-30,"NH4+-N",NA,NA,NA,NA,NA,NA,"p1",NA
